id,timestamp,target_embedding,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,label_smoothing,clip_grad_norm,class_weights,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
69,20251012_183155,gaitgl_GREW.csv,Best_configs,TCN,42,256,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14169,0.5,317,0.47513,0.52326,304,0.14097,STOPPED,73.586
70,20251012_183155,gaitgl_GREW_BNNeck.csv,Best_configs,TCN,42,256,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14103,0.38636,945,0.36279,0.51075,191,0.23996,STOPPED,217.45
71,20251012_183155,gaitgl_OUMVLP.csv,Best_configs,TCN,42,256,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14173,0.47727,812,0.43701,0.49449,189,0.15653,STOPPED,185.316
72,20251012_183155,gaitpart_GREW.csv,Best_configs,TCN,42,256,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14083,0.5,1538,0.5,0.61287,240,0.2176,STOPPED,179.267
73,20251012_183155,gaitpart_OUMVLP.csv,Best_configs,TCN,42,256,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14716,0.52273,1478,0.43514,0.47925,1448,0.15552,STOPPED,171.355
74,20251012_183155,gaitset.csv,Best_configs,TCN,42,256,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14057,0.43182,804,0.41954,0.45462,116,0.29761,STOPPED,181.24
75,20251012_183155,gaitset_GREW.csv,Best_configs,TCN,42,256,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14099,0.40909,1406,0.38118,0.47407,225,0.15631,STOPPED,318.522
76,20251012_183155,gaitset_OUMVLP.csv,Best_configs,TCN,42,256,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15303,0.5,1587,0.49293,0.61751,771,0.2155,STOPPED,406.048
77,20251012_183155,gln_phase1.csv,Best_configs,TCN,42,256,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14066,0.38636,1059,0.34546,0.42765,765,0.15814,STOPPED,413.804
78,20251012_183155,gln_phase2.csv,Best_configs,TCN,42,256,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14347,0.5,872,0.49007,0.56143,221,0.21957,STOPPED,340.318

79,20251012_183155,baseline_CASIAB.csv,Best_configs,TCN,42,256,"[96, 96, 96]","[1, 4, 7]",9,1,gelu,True,False,"[0.1, 0.1, 0.1]","[True, True, False]",last,,96,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14301,0.54545,448,0.39079,0.51073,221,0.14376,STOPPED,28.404
80,20251012_183155,baseline_OUMVLP.csv,Best_configs,TCN,42,256,"[96, 96, 96]","[1, 4, 7]",9,1,gelu,True,False,"[0.1, 0.1, 0.1]","[True, True, False]",last,,96,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.143,0.45455,449,0.38972,0.47817,86,0.26192,STOPPED,27.948
81,20251012_183155,gaitgl.csv,Best_configs,TCN,42,128,"[96, 96, 96]","[1, 4, 7]",9,1,gelu,True,False,"[0.1, 0.1, 0.1]","[True, True, False]",last,,96,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14186,0.5,456,0.4241,0.49162,154,0.14537,STOPPED,31.056
82,20251012_183155,gaitgl_GREW.csv,Best_configs,TCN,42,256,"[96, 96, 96]","[1, 4, 7]",9,1,gelu,True,False,"[0.1, 0.1, 0.1]","[True, True, False]",last,,96,AdamW,,0.0002,2e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14133,0.54545,400,0.40455,0.56852,274,0.14209,STOPPED,30.852
