id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
755,baseline_CASIAB.csv,0.43507,0.47591,0.04084,0.619 / 0.316 / 0.370,0.500 / 0.471 / 0.457,-0.119 / 0.155 / 0.087
756,baseline_OUMVLP.csv,0.4798,0.47877,-0.00103,0.485 / 0.364 / 0.591,0.564 / 0.222 / 0.650,0.079 / -0.141 / 0.059
757,gaitgl.csv,0.36149,0.37137,0.00988,0.558 / 0.000 / 0.526,0.627 / 0.167 / 0.320,0.069 / 0.167 / -0.206
758,gaitgl_GREW.csv,0.42435,0.46211,0.03776,0.571 / 0.250 / 0.452,0.564 / 0.222 / 0.600,-0.007 / -0.028 / 0.148
759,gaitgl_GREW_BNNeck.csv,0.45833,0.4546,-0.00373,0.500 / 0.375 / 0.500,0.558 / 0.421 / 0.385,0.058 / 0.046 / -0.115
760,gaitgl_OUMVLP.csv,0.47774,0.4963,0.01856,0.605 / 0.200 / 0.629,0.556 / 0.333 / 0.600,-0.049 / 0.133 / -0.029
761,gaitpart_GREW.csv,0.55114,0.51969,-0.03145,0.595 / 0.471 / 0.588,0.541 / 0.500 / 0.519,-0.054 / 0.029 / -0.070
762,gaitpart_OUMVLP.csv,0.60556,0.57646,-0.0291,0.650 / 0.500 / 0.667,0.634 / 0.429 / 0.667,-0.016 / -0.071 / 0.000
763,gaitset.csv,0.45965,0.4626,0.00295,0.600 / 0.200 / 0.579,0.488 / 0.500 / 0.400,-0.112 / 0.300 / -0.179
764,gaitset_GREW.csv,0.43876,0.47912,0.04036,0.545 / 0.333 / 0.438,0.652 / 0.267 / 0.519,0.107 / -0.067 / 0.081
765,gaitset_OUMVLP.csv,0.47321,0.41692,-0.05629,0.485 / 0.435 / 0.500,0.514 / 0.250 / 0.486,0.029 / -0.185 / -0.014
766,gln_phase1.csv,0.49374,0.45983,-0.03391,0.579 / 0.308 / 0.595,0.615 / 0.200 / 0.564,0.036 / -0.108 / -0.030
767,gln_phase2.csv,0.59288,0.52487,-0.06801,0.632 / 0.500 / 0.647,0.619 / 0.400 / 0.556,-0.013 / -0.100 / -0.091
846,baseline_CASIAB.csv,0.47456,0.39337,-0.08119,0.474 / 0.400 / 0.550,0.609 / 0.000 / 0.571,0.135 / -0.400 / 0.021
847,baseline_OUMVLP.csv,0.49374,0.53153,0.03779,0.579 / 0.308 / 0.595,0.595 / 0.333 / 0.667,0.016 / 0.026 / 0.072
848,gaitgl.csv,0.41604,0.49812,0.08208,0.512 / 0.250 / 0.486,0.638 / 0.250 / 0.606,0.127 / 0.000 / 0.120
849,gaitgl_GREW.csv,0.53488,0.42444,-0.11044,0.605 / 0.444 / 0.556,0.541 / 0.154 / 0.579,-0.064 / -0.291 / 0.023
850,gaitgl_GREW_BNNeck.csv,0.21538,0.45671,0.24133,0.646 / 0.000 / 0.000,0.579 / 0.211 / 0.581,-0.067 / 0.211 / 0.581
851,gaitgl_OUMVLP.csv,0.45549,0.42408,-0.03141,0.652 / 0.286 / 0.429,0.526 / 0.182 / 0.564,-0.126 / -0.104 / 0.136
