id,timestamp,target_embedding,source_params,model,seed,pooling,norm,batch_size,n_layers,base_dim,activation,dropout_rate,learning_rate,weight_decay,use_pca,pca_frac,norm_layer,do_layer,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss
92,20250824_200717,gaitpart_GREW.csv,gaitpart.csv,MLP,42,max,minmax,16,3,128,gelu,0.4,0.0001,0.0,True,0.85,2,3,0.00433,0.43182,216,0.382,0.48899,96,0.04063
93,20250824_200717,gaitpart_OUMVLP.csv,gaitpart.csv,MLP,42,max,minmax,16,3,128,gelu,0.4,0.0001,0.0,True,0.85,2,3,0.00323,0.52273,259,0.44456,0.48235,179,0.01318
94,20250824_200717,gaitset.csv,gaitpart.csv,MLP,42,max,minmax,16,3,128,gelu,0.4,0.0001,0.0,True,0.85,2,3,0.00366,0.36364,256,0.26545,0.4016,76,0.19283
95,20250824_200717,gaitset_GREW.csv,gaitpart.csv,MLP,42,max,minmax,16,3,128,gelu,0.4,0.0001,0.0,True,0.85,2,3,0.0042,0.47727,220,0.40535,0.43623,156,0.01691
96,20250824_200717,gaitset_OUMVLP.csv,gaitpart.csv,MLP,42,max,minmax,16,3,128,gelu,0.4,0.0001,0.0,True,0.85,2,3,0.00426,0.45455,246,0.39145,0.43965,223,0.00623
97,20250824_200717,gln_phase1.csv,gaitpart.csv,MLP,42,max,minmax,16,3,128,gelu,0.4,0.0001,0.0,True,0.85,2,3,0.00288,0.52273,268,0.38372,0.41774,73,0.19783
98,20250824_200717,gln_phase2.csv,gaitpart.csv,MLP,42,max,minmax,16,3,128,gelu,0.4,0.0001,0.0,True,0.85,2,3,0.00274,0.43182,248,0.32832,0.4,193,0.00771

99,20250824_201003,baseline_CASIAB.csv,gaitpart_GREW.csv,MLP,42,max,minmax,128,3,512,elu,0.2,1e-05,0.0001,False,,3,0,0.04278,0.43182,3000,0.3842,0.43761,1671,0.19736
100,20250824_201003,baseline_OUMVLP.csv,gaitpart_GREW.csv,MLP,42,max,minmax,128,3,512,elu,0.2,1e-05,0.0001,False,,3,0,0.03917,0.29545,3000,0.23761,0.34216,2434,0.08814
101,20250824_201003,gaitgl.csv,gaitpart_GREW.csv,MLP,42,max,minmax,128,3,512,elu,0.2,1e-05,0.0001,False,,3,0,0.21261,0.54545,3000,0.52614,0.52614,3000,0.21261
102,20250824_201003,gaitgl_GREW.csv,gaitpart_GREW.csv,MLP,42,max,minmax,128,3,512,elu,0.2,1e-05,0.0001,False,,3,0,0.01104,0.38636,3000,0.3374,0.35354,2891,0.01294
103,20250824_201003,gaitgl_GREW_BNNeck.csv,gaitpart_GREW.csv,MLP,42,max,minmax,128,3,512,elu,0.2,1e-05,0.0001,False,,3,0,0.02016,0.59091,3000,0.5,0.58006,1977,0.0643
104,20250824_201003,gaitgl_OUMVLP.csv,gaitpart_GREW.csv,MLP,42,max,minmax,128,3,512,elu,0.2,1e-05,0.0001,False,,3,0,0.06996,0.47727,3000,0.36289,0.43045,2929,0.08615
105,20250824_201003,gaitpart.csv,gaitpart_GREW.csv,MLP,42,max,minmax,128,3,512,elu,0.2,1e-05,0.0001,False,,3,0,0.00498,0.5,1543,0.35714,0.35714,220,0.19901
106,20250824_201003,gaitpart_GREW.csv,gaitpart_GREW.csv,MLP,42,max,minmax,128,3,512,elu,0.2,1e-05,0.0001,False,,3,0,0.01016,0.36364,3000,0.34684,0.46906,1129,0.19988
107,20250824_201003,gaitpart_OUMVLP.csv,gaitpart_GREW.csv,MLP,42,max,minmax,128,3,512,elu,0.2,1e-05,0.0001,False,,3,0,0.08584,0.5,3000,0.37062,0.43056,2025,0.18887
108,20250824_201003,gaitset.csv,gaitpart_GREW.csv,MLP,42,max,minmax,128,3,512,elu,0.2,1e-05,0.0001,False,,3,0,0.02416,0.45455,3000,0.39935,0.45819,2235,0.07287
109,20250824_201003,gaitset_GREW.csv,gaitpart_GREW.csv,MLP,42,max,minmax,128,3,512,elu,0.2,1e-05,0.0001,False,,3,0,0.01551,0.40909,3000,0.35355,0.38828,1660,0.11255
110,20250824_201003,gaitset_OUMVLP.csv,gaitpart_GREW.csv,MLP,42,max,minmax,128,3,512,elu,0.2,1e-05,0.0001,False,,3,0,0.08498,0.5,3000,0.40777,0.45976,2417,0.15272
111,20250824_201003,gln_phase1.csv,gaitpart_GREW.csv,MLP,42,max,minmax,128,3,512,elu,0.2,1e-05,0.0001,False,,3,0,0.03107,0.43182,3000,0.31744,0.39333,1483,0.19688
112,20250824_201003,gln_phase2.csv,gaitpart_GREW.csv,MLP,42,max,minmax,128,3,512,elu,0.2,1e-05,0.0001,False,,3,0,0.03133,0.40909,3000,0.34769,0.38329,2884,0.0628

113,20250824_201923,baseline_CASIAB.csv,gaitpart_OUMVLP.csv,MLP,42,mean,minmax,128,1,512,relu,0.4,0.001,1e-06,False,,0,0,0.00496,0.52273,1689,0.42986,0.52941,753,0.19039
114,20250824_201923,baseline_OUMVLP.csv,gaitpart_OUMVLP.csv,MLP,42,mean,minmax,128,1,512,relu,0.4,0.001,1e-06,False,,0,0,0.0046,0.52273,1536,0.50095,0.53796,879,0.04859
115,20250824_201923,gaitgl.csv,gaitpart_OUMVLP.csv,MLP,42,mean,minmax,128,1,512,relu,0.4,0.001,1e-06,False,,0,0,0.00487,0.43182,2041,0.3709,0.43314,977,0.16892
116,20250824_201923,gaitgl_GREW.csv,gaitpart_OUMVLP.csv,MLP,42,mean,minmax,128,1,512,relu,0.4,0.001,1e-06,False,,0,0,0.00488,0.38636,1579,0.30386,0.42424,976,0.03552
117,20250824_201923,gaitgl_GREW_BNNeck.csv,gaitpart_OUMVLP.csv,MLP,42,mean,minmax,128,1,512,relu,0.4,0.001,1e-06,False,,0,0,0.00467,0.34091,1669,0.26453,0.3637,719,0.1825
118,20250824_201923,gaitgl_OUMVLP.csv,gaitpart_OUMVLP.csv,MLP,42,mean,minmax,128,1,512,relu,0.4,0.001,1e-06,False,,0,0,0.00492,0.47727,2036,0.42434,0.48953,1031,0.10535
119,20250824_201923,gaitpart.csv,gaitpart_OUMVLP.csv,MLP,42,mean,minmax,128,1,512,relu,0.4,0.001,1e-06,False,,0,0,0.00447,0.16667,186,0.11111,0.19048,63,0.19375
