id,timestamp,target_embedding,source_params,model,seed,input_dim,hidden_layers,pooling,norm,batch_size,num_layers,base_dim,activation,dropout_rate,optimizer,learning_rate,weight_decay,use_pca,pca_frac,norm_layer,do_layer,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training
79,20250826_194930,baseline_CASIAB.csv,gaitpart_GREW.csv,MLP,42,256,"[512, 256, 128]",max,minmax,128,3,512,elu,0.2,Adam,1e-05,0.0001,False,,[3],[0],0.03569,0.34091,3000,0.29667,0.36213,1731,0.15959,STOPPED
80,20250826_194930,baseline_OUMVLP.csv,gaitpart_GREW.csv,MLP,42,256,"[512, 256, 128]",max,minmax,128,3,512,elu,0.2,Adam,1e-05,0.0001,False,,[3],[0],0.04433,0.31818,3000,0.25101,0.32713,2968,0.05456,STOPPED
81,20250826_194930,gaitgl.csv,gaitpart_GREW.csv,MLP,42,128,"[512, 256, 128]",max,minmax,128,3,512,elu,0.2,Adam,1e-05,0.0001,False,,[3],[0],0.2199,0.54545,3000,0.52614,0.52614,3000,0.2199,STOPPED
82,20250826_194930,gaitgl_GREW.csv,gaitpart_GREW.csv,MLP,42,256,"[512, 256, 128]",max,minmax,128,3,512,elu,0.2,Adam,1e-05,0.0001,False,,[3],[0],0.01367,0.34091,3000,0.29642,0.32775,1714,0.08908,STOPPED
83,20250826_194930,gaitgl_GREW_BNNeck.csv,gaitpart_GREW.csv,MLP,42,256,"[512, 256, 128]",max,minmax,128,3,512,elu,0.2,Adam,1e-05,0.0001,False,,[3],[0],0.01347,0.5,3000,0.45,0.52872,2247,0.05254,STOPPED
84,20250826_194930,gaitgl_OUMVLP.csv,gaitpart_GREW.csv,MLP,42,256,"[512, 256, 128]",max,minmax,128,3,512,elu,0.2,Adam,1e-05,0.0001,False,,[3],[0],0.0627,0.5,3000,0.42062,0.54557,2498,0.11691,STOPPED
85,20250826_194930,gaitpart_GREW.csv,gaitpart_GREW.csv,MLP,42,256,"[512, 256, 128]",max,minmax,128,3,512,elu,0.2,Adam,1e-05,0.0001,False,,[3],[0],0.00984,0.29545,3000,0.25405,0.40224,1152,0.17443,STOPPED
86,20250826_194930,gaitpart_OUMVLP.csv,gaitpart_GREW.csv,MLP,42,256,"[512, 256, 128]",max,minmax,128,3,512,elu,0.2,Adam,1e-05,0.0001,False,,[3],[0],0.08181,0.47727,3000,0.40743,0.46382,1908,0.19888,STOPPED
87,20250826_194930,gaitset.csv,gaitpart_GREW.csv,MLP,42,256,"[512, 256, 128]",max,minmax,128,3,512,elu,0.2,Adam,1e-05,0.0001,False,,[3],[0],0.0237,0.34091,3000,0.31879,0.44099,1567,0.17985,STOPPED
88,20250826_194930,gaitset_GREW.csv,gaitpart_GREW.csv,MLP,42,256,"[512, 256, 128]",max,minmax,128,3,512,elu,0.2,Adam,1e-05,0.0001,False,,[3],[0],0.01784,0.29545,3000,0.26623,0.32639,1418,0.17439,STOPPED
89,20250826_194930,gaitset_OUMVLP.csv,gaitpart_GREW.csv,MLP,42,256,"[512, 256, 128]",max,minmax,128,3,512,elu,0.2,Adam,1e-05,0.0001,False,,[3],[0],0.07861,0.38636,3000,0.29293,0.4741,2089,0.16863,STOPPED
90,20250826_194930,gln_phase1.csv,gaitpart_GREW.csv,MLP,42,256,"[512, 256, 128]",max,minmax,128,3,512,elu,0.2,Adam,1e-05,0.0001,False,,[3],[0],0.02716,0.36364,3000,0.2591,0.3448,2052,0.09861,STOPPED
91,20250826_194930,gln_phase2.csv,gaitpart_GREW.csv,MLP,42,256,"[512, 256, 128]",max,minmax,128,3,512,elu,0.2,Adam,1e-05,0.0001,False,,[3],[0],0.03417,0.47727,3000,0.39428,0.45139,2440,0.06272,STOPPED

92,20250826_195901,baseline_CASIAB.csv,gaitpart_OUMVLP.csv,MLP,42,256,[512],mean,minmax,128,1,512,relu,0.4,Adam,0.001,1e-06,False,,[0],[0],0.00454,0.52273,1572,0.46957,0.49664,594,0.19872,COMPLETED
93,20250826_195901,baseline_OUMVLP.csv,gaitpart_OUMVLP.csv,MLP,42,256,[512],mean,minmax,128,1,512,relu,0.4,Adam,0.001,1e-06,False,,[0],[0],0.00489,0.52273,1534,0.49318,0.55613,732,0.13765,COMPLETED
94,20250826_195901,gaitgl.csv,gaitpart_OUMVLP.csv,MLP,42,128,[512],mean,minmax,128,1,512,relu,0.4,Adam,0.001,1e-06,False,,[0],[0],0.00489,0.47727,1924,0.40789,0.44925,1173,0.05825,COMPLETED
95,20250826_195901,gaitgl_GREW.csv,gaitpart_OUMVLP.csv,MLP,42,256,[512],mean,minmax,128,1,512,relu,0.4,Adam,0.001,1e-06,False,,[0],[0],0.00443,0.43182,1732,0.32235,0.4026,634,0.19347,COMPLETED
96,20250826_195901,gaitgl_GREW_BNNeck.csv,gaitpart_OUMVLP.csv,MLP,42,256,[512],mean,minmax,128,1,512,relu,0.4,Adam,0.001,1e-06,False,,[0],[0],0.00491,0.38636,1768,0.28926,0.32947,1400,0.01377,COMPLETED
97,20250826_195901,gaitgl_OUMVLP.csv,gaitpart_OUMVLP.csv,MLP,42,256,[512],mean,minmax,128,1,512,relu,0.4,Adam,0.001,1e-06,False,,[0],[0],0.00473,0.52273,2062,0.46906,0.48406,1112,0.08592,COMPLETED
98,20250826_195901,gaitpart_GREW.csv,gaitpart_OUMVLP.csv,MLP,42,256,[512],mean,minmax,128,1,512,relu,0.4,Adam,0.001,1e-06,False,,[0],[0],0.00462,0.45455,1530,0.38989,0.42861,585,0.18018,COMPLETED
