id,timestamp,target_embedding,source_params,model,seed,input_dim,architecture_pattern,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training
78,20250916_153853,gaitpart_GREW.csv,gaitgl_OUMVLP.csv,LSTM,42,256,decreasing,1,[384],False,L2,0.4,[],[],attention,512.0,tanh,True,16,RMSprop,,5e-05,1e-07,0.05729,0.52273,310,0.42453,0.44444,266,0.12353,COMPLETED
79,20250916_153853,gaitpart_OUMVLP.csv,gaitgl_OUMVLP.csv,LSTM,42,256,decreasing,1,[384],False,L2,0.4,[],[],attention,512.0,tanh,True,16,RMSprop,,5e-05,1e-07,0.07139,0.36364,614,0.28438,0.45,547,0.13427,COMPLETED
80,20250916_153853,gaitset.csv,gaitgl_OUMVLP.csv,LSTM,42,256,decreasing,1,[384],False,L2,0.4,[],[],attention,512.0,tanh,True,16,RMSprop,,5e-05,1e-07,0.0463,0.40909,269,0.35159,0.41636,234,0.1881,COMPLETED
81,20250916_153853,gaitset_GREW.csv,gaitgl_OUMVLP.csv,LSTM,42,256,decreasing,1,[384],False,L2,0.4,[],[],attention,512.0,tanh,True,16,RMSprop,,5e-05,1e-07,0.09443,0.52273,280,0.36111,0.43056,275,0.08612,COMPLETED
82,20250916_153853,gaitset_OUMVLP.csv,gaitgl_OUMVLP.csv,LSTM,42,256,decreasing,1,[384],False,L2,0.4,[],[],attention,512.0,tanh,True,16,RMSprop,,5e-05,1e-07,0.05442,0.45455,760,0.41667,0.49327,650,0.17531,COMPLETED
83,20250916_153853,gln_phase1.csv,gaitgl_OUMVLP.csv,LSTM,42,256,decreasing,1,[384],False,L2,0.4,[],[],attention,512.0,tanh,True,16,RMSprop,,5e-05,1e-07,0.07043,0.45455,302,0.41045,0.46412,295,0.16324,COMPLETED
84,20250916_153853,gln_phase2.csv,gaitgl_OUMVLP.csv,LSTM,42,256,decreasing,1,[384],False,L2,0.4,[],[],attention,512.0,tanh,True,16,RMSprop,,5e-05,1e-07,0.08885,0.45455,259,0.30514,0.42837,248,0.08203,COMPLETED

85,20250916_155322,baseline_CASIAB.csv,gaitpart.csv,LSTM,42,256,increasing,4,"[128, 192, 256, 384]",False,L2,0.0,"[2, 3]","[1, 2]",attention,128.0,leakyrelu,False,64,AdamW,,0.001,1e-05,0.03611,0.36364,302,0.27247,0.29524,296,0.15709,COMPLETED
86,20250916_155322,baseline_OUMVLP.csv,gaitpart.csv,LSTM,42,256,increasing,4,"[128, 192, 256, 384]",False,L2,0.0,"[2, 3]","[1, 2]",attention,128.0,leakyrelu,False,64,AdamW,,0.001,1e-05,0.09227,0.45455,384,0.41358,0.45877,380,0.11642,COMPLETED
87,20250916_155322,gaitgl.csv,gaitpart.csv,LSTM,42,128,increasing,4,"[128, 192, 256, 384]",False,L2,0.0,"[2, 3]","[1, 2]",attention,128.0,leakyrelu,False,64,AdamW,,0.001,1e-05,0.06907,0.47727,189,0.37381,0.40096,186,0.10428,COMPLETED
88,20250916_155322,gaitgl_GREW.csv,gaitpart.csv,LSTM,42,256,increasing,4,"[128, 192, 256, 384]",False,L2,0.0,"[2, 3]","[1, 2]",attention,128.0,leakyrelu,False,64,AdamW,,0.001,1e-05,0.06106,0.43182,177,0.30556,0.42679,171,0.1514,COMPLETED
89,20250916_155322,gaitgl_GREW_BNNeck.csv,gaitpart.csv,LSTM,42,256,increasing,4,"[128, 192, 256, 384]",False,L2,0.0,"[2, 3]","[1, 2]",attention,128.0,leakyrelu,False,64,AdamW,,0.001,1e-05,0.06429,0.47727,358,0.40604,0.40604,358,0.06429,COMPLETED
90,20250916_155322,gaitgl_OUMVLP.csv,gaitpart.csv,LSTM,42,256,increasing,4,"[128, 192, 256, 384]",False,L2,0.0,"[2, 3]","[1, 2]",attention,128.0,leakyrelu,False,64,AdamW,,0.001,1e-05,0.04613,0.40909,312,0.35767,0.38778,307,0.14884,COMPLETED
